ActivityIdentifier,ActivityTypeCode,ActivityMediaName,OrganizationIdentifier,StartDate,StartTime,ProjectIdentifier,MonitoringLocationIdentifier,SubmitData
Cas 0.6-20180813-SR,Sample-Routine,Water,ClallamCoDCD,2018-08-13,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20180911-SR,Sample-Routine,Water,ClallamCoDCD,2018-09-11,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20181009-SR,Sample-Routine,Water,ClallamCoDCD,2018-10-09,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20181113-SR,Sample-Routine,Water,ClallamCoDCD,2018-11-13,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20181211-SR,Sample-Routine,Water,ClallamCoDCD,2018-12-11,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20190107-SR,Sample-Routine,Water,ClallamCoDCD,2019-01-07,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20190226-SR,Sample-Routine,Water,ClallamCoDCD,2019-02-26,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20190312-SR,Sample-Routine,Water,ClallamCoDCD,2019-03-12,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20190415-SR,Sample-Routine,Water,ClallamCoDCD,2019-04-15,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20190514-SR,Sample-Routine,Water,ClallamCoDCD,2019-05-14,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20190611-SR,Sample-Routine,Water,ClallamCoDCD,2019-06-11,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20190709-SR,Sample-Routine,Water,ClallamCoDCD,2019-07-09,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20190812-SR,Sample-Routine,Water,ClallamCoDCD,2019-08-12,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20190910-SR,Sample-Routine,Water,ClallamCoDCD,2019-09-10,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20191008-SR,Sample-Routine,Water,ClallamCoDCD,2019-10-08,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20191112-SR,Sample-Routine,Water,ClallamCoDCD,2019-11-12,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20191210-SR,Sample-Routine,Water,ClallamCoDCD,2019-12-10,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20200121-SR,Sample-Routine,Water,ClallamCoDCD,2020-01-21,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20200211-SR,Sample-Routine,Water,ClallamCoDCD,2020-02-11,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20200310-SR,Sample-Routine,Water,ClallamCoDCD,2020-03-10,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20200412-SR,Sample-Routine,Water,ClallamCoDCD,2020-04-12,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20200615-SR,Sample-Routine,Water,ClallamCoDCD,2020-06-15,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20200928-SR,Sample-Routine,Water,ClallamCoDCD,2020-09-28,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20201012-SR,Sample-Routine,Water,ClallamCoDCD,2020-10-12,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20201116-SR,Sample-Routine,Water,ClallamCoDCD,2020-11-16,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20201207-SR,Sample-Routine,Water,ClallamCoDCD,2020-12-07,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20210111-SR,Sample-Routine,Water,ClallamCoDCD,2021-01-11,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20210209-SR,Sample-Routine,Water,ClallamCoDCD,2021-02-09,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20210308-SR,Sample-Routine,Water,ClallamCoDCD,2021-03-08,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20210419-SR,Sample-Routine,Water,ClallamCoDCD,2021-04-19,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20210510-SR,Sample-Routine,Water,ClallamCoDCD,2021-05-10,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20210614-SR,Sample-Routine,Water,ClallamCoDCD,2021-06-14,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20210712-SR,Sample-Routine,Water,ClallamCoDCD,2021-07-12,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20210809-SR,Sample-Routine,Water,ClallamCoDCD,2021-08-09,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20210913-SR,Sample-Routine,Water,ClallamCoDCD,2021-09-13,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20211011-SR,Sample-Routine,Water,ClallamCoDCD,2021-10-11,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20211108-SR,Sample-Routine,Water,ClallamCoDCD,2021-11-08,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20211213-SR,Sample-Routine,Water,ClallamCoDCD,2021-12-13,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20220110-SR,Sample-Routine,Water,ClallamCoDCD,2022-01-10,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20220214-SR,Sample-Routine,Water,ClallamCoDCD,2022-02-14,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20220314-SR,Sample-Routine,Water,ClallamCoDCD,2022-03-14,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20220426-SR,Sample-Routine,Water,ClallamCoDCD,2022-04-26,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20220509-SR,Sample-Routine,Water,ClallamCoDCD,2022-05-09,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20220613-SR,Sample-Routine,Water,ClallamCoDCD,2022-06-13,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20220712-SR,Sample-Routine,Water,ClallamCoDCD,2022-07-12,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20220808-SR,Sample-Routine,Water,ClallamCoDCD,2022-08-08,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20220912-SR,Sample-Routine,Water,ClallamCoDCD,2022-09-12,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20221010-SR,Sample-Routine,Water,ClallamCoDCD,2022-10-10,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20221114-SR,Sample-Routine,Water,ClallamCoDCD,2022-11-14,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20221205-SR,Sample-Routine,Water,ClallamCoDCD,2022-12-05,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20230109-SR,Sample-Routine,Water,ClallamCoDCD,2023-01-09,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20230213-SR,Sample-Routine,Water,ClallamCoDCD,2023-02-13,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20230313-SR,Sample-Routine,Water,ClallamCoDCD,2023-03-13,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20230410-SR,Sample-Routine,Water,ClallamCoDCD,2023-04-10,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20230515-SR,Sample-Routine,Water,ClallamCoDCD,2023-05-15,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20230612-SR,Sample-Routine,Water,ClallamCoDCD,2023-06-12,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20230710-SR,Sample-Routine,Water,ClallamCoDCD,2023-07-10,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20230814-SR,Sample-Routine,Water,ClallamCoDCD,2023-08-14,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20230911-SR,Sample-Routine,Water,ClallamCoDCD,2023-09-11,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20231009-SR,Sample-Routine,Water,ClallamCoDCD,2023-10-09,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20231113-SR,Sample-Routine,Water,ClallamCoDCD,2023-11-13,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20231211-SR,Sample-Routine,Water,ClallamCoDCD,2023-12-11,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20240109-SR,Sample-Routine,Water,ClallamCoDCD,2024-01-09,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20240222-SR,Sample-Routine,Water,ClallamCoDCD,2024-02-22,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20240312-SR,Sample-Routine,Water,ClallamCoDCD,2024-03-12,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20240402-SR,Sample-Routine,Water,ClallamCoDCD,2024-04-02,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20240514-SR,Sample-Routine,Water,ClallamCoDCD,2024-05-14,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20240611-SR,Sample-Routine,Water,ClallamCoDCD,2024-06-11,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20240709-SR,Sample-Routine,Water,ClallamCoDCD,2024-07-09,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20240813-SR,Sample-Routine,Water,ClallamCoDCD,2024-08-13,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20240917-SR,Sample-Routine,Water,ClallamCoDCD,2024-09-17,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20241008-SR,Sample-Routine,Water,ClallamCoDCD,2024-10-08,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20241112-SR,Sample-Routine,Water,ClallamCoDCD,2024-11-12,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Cas 0.6-20241210-SR,Sample-Routine,Water,ClallamCoDCD,2024-12-10,12:00:00,ClallamTrendsPIC,Cas 0.6,1
Chi 0.24-20151124-SR,Sample-Routine,Water,ClallamCoDCD,2015-11-24,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20160126-SR,Sample-Routine,Water,ClallamCoDCD,2016-01-26,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20160412-SR,Sample-Routine,Water,ClallamCoDCD,2016-04-12,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20160816-SR,Sample-Routine,Water,ClallamCoDCD,2016-08-16,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20161115-SR,Sample-Routine,Water,ClallamCoDCD,2016-11-15,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20170110-SR,Sample-Routine,Water,ClallamCoDCD,2017-01-10,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20170418-SR,Sample-Routine,Water,ClallamCoDCD,2017-04-18,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20170815-SR,Sample-Routine,Water,ClallamCoDCD,2017-08-15,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20171114-SR,Sample-Routine,Water,ClallamCoDCD,2017-11-14,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20180109-SR,Sample-Routine,Water,ClallamCoDCD,2018-01-09,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20180417-SR,Sample-Routine,Water,ClallamCoDCD,2018-04-17,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20180814-SR,Sample-Routine,Water,ClallamCoDCD,2018-08-14,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20181114-SR,Sample-Routine,Water,ClallamCoDCD,2018-11-14,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20190108-SR,Sample-Routine,Water,ClallamCoDCD,2019-01-08,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20190422-SR,Sample-Routine,Water,ClallamCoDCD,2019-04-22,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20190813-SR,Sample-Routine,Water,ClallamCoDCD,2019-08-13,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20191119-SR,Sample-Routine,Water,ClallamCoDCD,2019-11-19,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20200122-SR,Sample-Routine,Water,ClallamCoDCD,2020-01-22,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20200420-SR,Sample-Routine,Water,ClallamCoDCD,2020-04-20,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20200818-SR,Sample-Routine,Water,ClallamCoDCD,2020-08-18,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20201117-SR,Sample-Routine,Water,ClallamCoDCD,2020-11-17,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20210126-SR,Sample-Routine,Water,ClallamCoDCD,2021-01-26,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20210420-SR,Sample-Routine,Water,ClallamCoDCD,2021-04-20,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20210810-SR,Sample-Routine,Water,ClallamCoDCD,2021-08-10,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20211116-SR,Sample-Routine,Water,ClallamCoDCD,2021-11-16,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20220111-SR,Sample-Routine,Water,ClallamCoDCD,2022-01-11,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20220526-SR,Sample-Routine,Water,ClallamCoDCD,2022-05-26,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20220809-SR,Sample-Routine,Water,ClallamCoDCD,2022-08-09,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20221116-SR,Sample-Routine,Water,ClallamCoDCD,2022-11-16,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20230411-SR,Sample-Routine,Water,ClallamCoDCD,2023-04-11,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20230815-SR,Sample-Routine,Water,ClallamCoDCD,2023-08-15,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20240404-SR,Sample-Routine,Water,ClallamCoDCD,2024-04-04,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20240821-SR,Sample-Routine,Water,ClallamCoDCD,2024-08-21,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Chi 0.24-20241113-SR,Sample-Routine,Water,ClallamCoDCD,2024-11-13,12:00:00,ClallamTrendsPIC,Chi 0.24,1
Coo 0.1-20150512-SR,Sample-Routine,Water,ClallamCoDCD,2015-05-12,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20150611-SR,Sample-Routine,Water,ClallamCoDCD,2015-06-11,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20150707-SR,Sample-Routine,Water,ClallamCoDCD,2015-07-07,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20150813-SR,Sample-Routine,Water,ClallamCoDCD,2015-08-13,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20150910-SR,Sample-Routine,Water,ClallamCoDCD,2015-09-10,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20151008-SR,Sample-Routine,Water,ClallamCoDCD,2015-10-08,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20151123-SR,Sample-Routine,Water,ClallamCoDCD,2015-11-23,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20151217-SR,Sample-Routine,Water,ClallamCoDCD,2015-12-17,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20160125-SR,Sample-Routine,Water,ClallamCoDCD,2016-01-25,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20160217-SR,Sample-Routine,Water,ClallamCoDCD,2016-02-17,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20160315-SR,Sample-Routine,Water,ClallamCoDCD,2016-03-15,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20160411-SR,Sample-Routine,Water,ClallamCoDCD,2016-04-11,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20160517-SR,Sample-Routine,Water,ClallamCoDCD,2016-05-17,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20160621-SR,Sample-Routine,Water,ClallamCoDCD,2016-06-21,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20160719-SR,Sample-Routine,Water,ClallamCoDCD,2016-07-19,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20160815-SR,Sample-Routine,Water,ClallamCoDCD,2016-08-15,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20160920-SR,Sample-Routine,Water,ClallamCoDCD,2016-09-20,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20161018-SR,Sample-Routine,Water,ClallamCoDCD,2016-10-18,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20161114-SR,Sample-Routine,Water,ClallamCoDCD,2016-11-14,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20161213-SR,Sample-Routine,Water,ClallamCoDCD,2016-12-13,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20170109-SR,Sample-Routine,Water,ClallamCoDCD,2017-01-09,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20170214-SR,Sample-Routine,Water,ClallamCoDCD,2017-02-14,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20170314-SR,Sample-Routine,Water,ClallamCoDCD,2017-03-14,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20170417-SR,Sample-Routine,Water,ClallamCoDCD,2017-04-17,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20170509-SR,Sample-Routine,Water,ClallamCoDCD,2017-05-09,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20170613-SR,Sample-Routine,Water,ClallamCoDCD,2017-06-13,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20170718-SR,Sample-Routine,Water,ClallamCoDCD,2017-07-18,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20170814-SR,Sample-Routine,Water,ClallamCoDCD,2017-08-14,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20170919-SR,Sample-Routine,Water,ClallamCoDCD,2017-09-19,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20171010-SR,Sample-Routine,Water,ClallamCoDCD,2017-10-10,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20171113-SR,Sample-Routine,Water,ClallamCoDCD,2017-11-13,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20171212-SR,Sample-Routine,Water,ClallamCoDCD,2017-12-12,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20180108-SR,Sample-Routine,Water,ClallamCoDCD,2018-01-08,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20180213-SR,Sample-Routine,Water,ClallamCoDCD,2018-02-13,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20180313-SR,Sample-Routine,Water,ClallamCoDCD,2018-03-13,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20180416-SR,Sample-Routine,Water,ClallamCoDCD,2018-04-16,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20180515-SR,Sample-Routine,Water,ClallamCoDCD,2018-05-15,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20180612-SR,Sample-Routine,Water,ClallamCoDCD,2018-06-12,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20180710-SR,Sample-Routine,Water,ClallamCoDCD,2018-07-10,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20180813-SR,Sample-Routine,Water,ClallamCoDCD,2018-08-13,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20180911-SR,Sample-Routine,Water,ClallamCoDCD,2018-09-11,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20181009-SR,Sample-Routine,Water,ClallamCoDCD,2018-10-09,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20181113-SR,Sample-Routine,Water,ClallamCoDCD,2018-11-13,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20181211-SR,Sample-Routine,Water,ClallamCoDCD,2018-12-11,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20190107-SR,Sample-Routine,Water,ClallamCoDCD,2019-01-07,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20190226-SR,Sample-Routine,Water,ClallamCoDCD,2019-02-26,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20190312-SR,Sample-Routine,Water,ClallamCoDCD,2019-03-12,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20190415-SR,Sample-Routine,Water,ClallamCoDCD,2019-04-15,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20190514-SR,Sample-Routine,Water,ClallamCoDCD,2019-05-14,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20190611-SR,Sample-Routine,Water,ClallamCoDCD,2019-06-11,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20190709-SR,Sample-Routine,Water,ClallamCoDCD,2019-07-09,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20190812-SR,Sample-Routine,Water,ClallamCoDCD,2019-08-12,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20190910-SR,Sample-Routine,Water,ClallamCoDCD,2019-09-10,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20191008-SR,Sample-Routine,Water,ClallamCoDCD,2019-10-08,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20191112-SR,Sample-Routine,Water,ClallamCoDCD,2019-11-12,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20191210-SR,Sample-Routine,Water,ClallamCoDCD,2019-12-10,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20200121-SR,Sample-Routine,Water,ClallamCoDCD,2020-01-21,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20200211-SR,Sample-Routine,Water,ClallamCoDCD,2020-02-11,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20200310-SR,Sample-Routine,Water,ClallamCoDCD,2020-03-10,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20200412-SR,Sample-Routine,Water,ClallamCoDCD,2020-04-12,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20200512-SR,Sample-Routine,Water,ClallamCoDCD,2020-05-12,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20200615-SR,Sample-Routine,Water,ClallamCoDCD,2020-06-15,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20200714-SR,Sample-Routine,Water,ClallamCoDCD,2020-07-14,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20200812-SR,Sample-Routine,Water,ClallamCoDCD,2020-08-12,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20200928-SR,Sample-Routine,Water,ClallamCoDCD,2020-09-28,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20201012-SR,Sample-Routine,Water,ClallamCoDCD,2020-10-12,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20201116-SR,Sample-Routine,Water,ClallamCoDCD,2020-11-16,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20201207-SR,Sample-Routine,Water,ClallamCoDCD,2020-12-07,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20210111-SR,Sample-Routine,Water,ClallamCoDCD,2021-01-11,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20210209-SR,Sample-Routine,Water,ClallamCoDCD,2021-02-09,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20210308-SR,Sample-Routine,Water,ClallamCoDCD,2021-03-08,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20210419-SR,Sample-Routine,Water,ClallamCoDCD,2021-04-19,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20210510-SR,Sample-Routine,Water,ClallamCoDCD,2021-05-10,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20210614-SR,Sample-Routine,Water,ClallamCoDCD,2021-06-14,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20210712-SR,Sample-Routine,Water,ClallamCoDCD,2021-07-12,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20210809-SR,Sample-Routine,Water,ClallamCoDCD,2021-08-09,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20210913-SR,Sample-Routine,Water,ClallamCoDCD,2021-09-13,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20211011-SR,Sample-Routine,Water,ClallamCoDCD,2021-10-11,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20211108-SR,Sample-Routine,Water,ClallamCoDCD,2021-11-08,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20211213-SR,Sample-Routine,Water,ClallamCoDCD,2021-12-13,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20220110-SR,Sample-Routine,Water,ClallamCoDCD,2022-01-10,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20220214-SR,Sample-Routine,Water,ClallamCoDCD,2022-02-14,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20220314-SR,Sample-Routine,Water,ClallamCoDCD,2022-03-14,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20220426-SR,Sample-Routine,Water,ClallamCoDCD,2022-04-26,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20220509-SR,Sample-Routine,Water,ClallamCoDCD,2022-05-09,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20220613-SR,Sample-Routine,Water,ClallamCoDCD,2022-06-13,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20220712-SR,Sample-Routine,Water,ClallamCoDCD,2022-07-12,12:00:00,ClallamTrendsPIC,Coo 0.1,1
Coo 0.1-20220808-SR,Sample-Routine,Water,ClallamCoDCD,2022-08-08,12:00:00,ClallamTrendsPIC,Coo 0.1,1
