ActivityIdentifier,OrganizationIdentifier,CharacteristicName,ResultMeasureValue,ResultMeasureUnitCode,ResultStatusName,ResultValueTypeName,SubmitData
Cas 0.0-20190514-SR,ClallamCoDCD,Phosphorus,41.81,mg/l,Final,Actual,1
Cas 0.0-20190514-SR,ClallamCoDCD,Silicate,6294.56,mg/l,Final,Actual,1
Cas 0.0-20190514-SR,ClallamCoDCD,Gage height,4.2,ft,Final,Actual,1
Cas 0.0-20190611-SR,ClallamCoDCD,"Temperature, water",14.5,deg C,Final,Actual,1
Cas 0.0-20190611-SR,ClallamCoDCD,pH,7.8,None,Final,Actual,1
Cas 0.0-20190611-SR,ClallamCoDCD,Dissolved oxygen (DO),10,mg/l,Final,Actual,1
Cas 0.0-20190611-SR,ClallamCoDCD,Specific conductance,465,mS/cm,Final,Actual,1
Cas 0.0-20190611-SR,ClallamCoDCD,Salinity,0.2,ppt,Final,Actual,1
Cas 0.0-20190611-SR,ClallamCoDCD,Turbidity,3,FNU,Final,Actual,1
Cas 0.0-20190611-SR,ClallamCoDCD,Fecal Coliform,54,cfu/100ml,Final,Actual,1
Cas 0.0-20190611-SR,ClallamCoDCD,Nitrate,873.25,mg/l,Final,Actual,1
Cas 0.0-20190611-SR,ClallamCoDCD,Nitrite,3.51,mg/l,Final,Actual,1
Cas 0.0-20190611-SR,ClallamCoDCD,Ammonia-nitrogen,14.1,mg/l,Final,Actual,1
Cas 0.0-20190611-SR,ClallamCoDCD,Nitrogen,1205.98,mg/l,Final,Actual,1
Cas 0.0-20190611-SR,ClallamCoDCD,Phosphorus,28.8,mg/l,Final,Actual,1
Cas 0.0-20190611-SR,ClallamCoDCD,Silicate,6377.45,mg/l,Final,Actual,1
Cas 0.0-20190611-SR,ClallamCoDCD,Gage height,5.5,ft,Final,Actual,1
Cas 0.0-20190709-SR,ClallamCoDCD,"Temperature, water",14,deg C,Final,Actual,1
Cas 0.0-20190709-SR,ClallamCoDCD,pH,7.6,None,Final,Actual,1
Cas 0.0-20190709-SR,ClallamCoDCD,Dissolved oxygen (DO),9.7,mg/l,Final,Actual,1
Cas 0.0-20190709-SR,ClallamCoDCD,Specific conductance,698,mS/cm,Final,Actual,1
Cas 0.0-20190709-SR,ClallamCoDCD,Salinity,0.3,ppt,Final,Actual,1
Cas 0.0-20190709-SR,ClallamCoDCD,Turbidity,3,FNU,Final,Actual,1
Cas 0.0-20190709-SR,ClallamCoDCD,Fecal Coliform,164,cfu/100ml,Final,Actual,1
Cas 0.0-20190709-SR,ClallamCoDCD,Nitrate,880.07,mg/l,Final,Actual,1
Cas 0.0-20190709-SR,ClallamCoDCD,Nitrite,3.43,mg/l,Final,Actual,1
Cas 0.0-20190709-SR,ClallamCoDCD,Ammonia-nitrogen,15.6,mg/l,Final,Actual,1
Cas 0.0-20190709-SR,ClallamCoDCD,Nitrogen,1235.01,mg/l,Final,Actual,1
Cas 0.0-20190709-SR,ClallamCoDCD,Phosphorus,31.26,mg/l,Final,Actual,1
Cas 0.0-20190709-SR,ClallamCoDCD,Silicate,6706.33,mg/l,Final,Actual,1
Cas 0.0-20190812-SR,ClallamCoDCD,"Temperature, water",14.6,deg C,Final,Actual,1
Cas 0.0-20190812-SR,ClallamCoDCD,pH,7.9,None,Final,Actual,1
Cas 0.0-20190812-SR,ClallamCoDCD,Dissolved oxygen (DO),9.4,mg/l,Final,Actual,1
Cas 0.0-20190812-SR,ClallamCoDCD,Specific conductance,508,mS/cm,Final,Actual,1
Cas 0.0-20190812-SR,ClallamCoDCD,Salinity,0.2,ppt,Final,Actual,1
Cas 0.0-20190812-SR,ClallamCoDCD,Turbidity,2,FNU,Final,Actual,1
Cas 0.0-20190812-SR,ClallamCoDCD,Fecal Coliform,112,cfu/100ml,Final,Actual,1
Cas 0.0-20190812-SR,ClallamCoDCD,Nitrate,912.55,mg/l,Final,Actual,1
Cas 0.0-20190812-SR,ClallamCoDCD,Nitrite,2.96,mg/l,Final,Actual,1
Cas 0.0-20190812-SR,ClallamCoDCD,Ammonia-nitrogen,14.6,mg/l,Final,Actual,1
Cas 0.0-20190812-SR,ClallamCoDCD,Nitrogen,1210.39,mg/l,Final,Actual,1
Cas 0.0-20190812-SR,ClallamCoDCD,Phosphorus,31.59,mg/l,Final,Actual,1
Cas 0.0-20190812-SR,ClallamCoDCD,Silicate,6747.26,mg/l,Final,Actual,1
Cas 0.0-20190812-SR,ClallamCoDCD,Gage height,1.88,ft,Final,Actual,1
Cas 0.0-20190910-SR,ClallamCoDCD,"Temperature, water",13.8,deg C,Final,Actual,1
Cas 0.0-20190910-SR,ClallamCoDCD,pH,7.7,None,Final,Actual,1
Cas 0.0-20190910-SR,ClallamCoDCD,Dissolved oxygen (DO),9.5,mg/l,Final,Actual,1
Cas 0.0-20190910-SR,ClallamCoDCD,Specific conductance,532,mS/cm,Final,Actual,1
Cas 0.0-20190910-SR,ClallamCoDCD,Salinity,0.3,ppt,Final,Actual,1
Cas 0.0-20190910-SR,ClallamCoDCD,Turbidity,2,FNU,Final,Actual,1
Cas 0.0-20190910-SR,ClallamCoDCD,Fecal Coliform,72,cfu/100ml,Final,Actual,1
Cas 0.0-20190910-SR,ClallamCoDCD,Nitrate,824.58,mg/l,Final,Actual,1
Cas 0.0-20190910-SR,ClallamCoDCD,Nitrite,1.94,mg/l,Final,Actual,1
Cas 0.0-20190910-SR,ClallamCoDCD,Ammonia-nitrogen,24.6,mg/l,Final,Actual,1
Cas 0.0-20190910-SR,ClallamCoDCD,Nitrogen,1120.59,mg/l,Final,Actual,1
Cas 0.0-20190910-SR,ClallamCoDCD,Phosphorus,39.81,mg/l,Final,Actual,1
Cas 0.0-20190910-SR,ClallamCoDCD,Silicate,6840.98,mg/l,Final,Actual,1
Cas 0.0-20200211-SR,ClallamCoDCD,"Temperature, water",7,deg C,Final,Actual,1
Cas 0.0-20200211-SR,ClallamCoDCD,pH,7.3,None,Final,Actual,1
Cas 0.0-20200211-SR,ClallamCoDCD,Dissolved oxygen (DO),10.6,mg/l,Final,Actual,1
Cas 0.0-20200211-SR,ClallamCoDCD,Specific conductance,1653,mS/cm,Final,Actual,1
Cas 0.0-20200211-SR,ClallamCoDCD,Salinity,0.8,ppt,Final,Actual,1
Cas 0.0-20200211-SR,ClallamCoDCD,Turbidity,3,FNU,Final,Actual,1
Cas 0.0-20200211-SR,ClallamCoDCD,Fecal Coliform,28,cfu/100ml,Final,Actual,1
Cas 0.0-20200310-SR,ClallamCoDCD,"Temperature, water",6,deg C,Final,Actual,1
Cas 0.0-20200310-SR,ClallamCoDCD,pH,7.8,None,Final,Actual,1
Cas 0.0-20200310-SR,ClallamCoDCD,Dissolved oxygen (DO),11.9,mg/l,Final,Actual,1
Cas 0.0-20200310-SR,ClallamCoDCD,Specific conductance,618,mS/cm,Final,Actual,1
Cas 0.0-20200310-SR,ClallamCoDCD,Salinity,0.3,ppt,Final,Actual,1
Cas 0.0-20200310-SR,ClallamCoDCD,Turbidity,6,FNU,Final,Actual,1
Cas 0.0-20200310-SR,ClallamCoDCD,Fecal Coliform,36,cfu/100ml,Final,Actual,1
Cas 0.0-20200310-SR,ClallamCoDCD,Nitrite,5.1,mg/l,Final,Actual,1
Cas 0.0-20200310-SR,ClallamCoDCD,Ammonia-nitrogen,22.2,mg/l,Final,Actual,1
Cas 0.0-20200310-SR,ClallamCoDCD,Nitrogen,1855.36,mg/l,Final,Actual,1
Cas 0.0-20200310-SR,ClallamCoDCD,Phosphorus,39.64,mg/l,Final,Actual,1
Cas 0.0-20200310-SR,ClallamCoDCD,Silicate,6743.08,mg/l,Final,Actual,1
Cas 0.0-20200310-SR,ClallamCoDCD,Gage height,7.6,ft,Final,Actual,1
Cas 0.0-20200412-SR,ClallamCoDCD,"Temperature, water",11.1,deg C,Final,Actual,1
Cas 0.0-20200412-SR,ClallamCoDCD,pH,8,None,Final,Actual,1
Cas 0.0-20200412-SR,ClallamCoDCD,Dissolved oxygen (DO),11,mg/l,Final,Actual,1
Cas 0.0-20200412-SR,ClallamCoDCD,Specific conductance,310,mS/cm,Final,Actual,1
Cas 0.0-20200412-SR,ClallamCoDCD,Salinity,0.2,ppt,Final,Actual,1
Cas 0.0-20200412-SR,ClallamCoDCD,Turbidity,4,FNU,Final,Actual,1
Cas 0.0-20200412-SR,ClallamCoDCD,Fecal Coliform,64,cfu/100ml,Final,Actual,1
Cas 0.0-20200412-SR,ClallamCoDCD,Flow,3.4,cfs,Final,Actual,1
Cas 0.0-20200412-SR,ClallamCoDCD,Gage height,0.63,ft,Final,Actual,1
Cas 0.0-20200512-SR,ClallamCoDCD,"Temperature, water",13,deg C,Final,Actual,1
Cas 0.0-20200512-SR,ClallamCoDCD,pH,7.5,None,Final,Actual,1
Cas 0.0-20200512-SR,ClallamCoDCD,Dissolved oxygen (DO),9.5,mg/l,Final,Actual,1
Cas 0.0-20200512-SR,ClallamCoDCD,Specific conductance,194,mS/cm,Final,Actual,1
Cas 0.0-20200512-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Cas 0.0-20200512-SR,ClallamCoDCD,Turbidity,11,FNU,Final,Actual,1
Cas 0.0-20200512-SR,ClallamCoDCD,Fecal Coliform,216,cfu/100ml,Final,Actual,1
Cas 0.0-20200615-SR,ClallamCoDCD,"Temperature, water",12.5,deg C,Final,Actual,1
Cas 0.0-20200615-SR,ClallamCoDCD,Dissolved oxygen (DO),10.1,mg/l,Final,Actual,1
Cas 0.0-20200615-SR,ClallamCoDCD,Specific conductance,397,mS/cm,Final,Actual,1
Cas 0.0-20200615-SR,ClallamCoDCD,Salinity,0.2,ppt,Final,Actual,1
Cas 0.0-20200615-SR,ClallamCoDCD,Turbidity,3,FNU,Final,Actual,1
Cas 0.0-20200615-SR,ClallamCoDCD,Fecal Coliform,210,cfu/100ml,Final,Actual,1
Cas 0.0-20200615-SR,ClallamCoDCD,Nitrite,3.84,mg/l,Final,Actual,1
Cas 0.0-20200615-SR,ClallamCoDCD,Ammonia-nitrogen,14.5,mg/l,Final,Actual,1
Cas 0.0-20200615-SR,ClallamCoDCD,Nitrogen,1586.15,mg/l,Final,Actual,1
Cas 0.0-20200615-SR,ClallamCoDCD,Phosphorus,35.61,mg/l,Final,Actual,1
Cas 0.0-20200615-SR,ClallamCoDCD,Silicate,6454.38,mg/l,Final,Actual,1
Cas 0.0-20200615-SR,ClallamCoDCD,Gage height,3.34,ft,Final,Actual,1
Cas 0.0-20200714-SR,ClallamCoDCD,"Temperature, water",13.3,deg C,Final,Actual,1
Cas 0.0-20200714-SR,ClallamCoDCD,Dissolved oxygen (DO),9.8,mg/l,Final,Actual,1
Cas 0.0-20200714-SR,ClallamCoDCD,Specific conductance,299,mS/cm,Final,Actual,1
Cas 0.0-20200714-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Cas 0.0-20200714-SR,ClallamCoDCD,Turbidity,2,FNU,Final,Actual,1
Cas 0.0-20200714-SR,ClallamCoDCD,Fecal Coliform,98,cfu/100ml,Final,Actual,1
Cas 0.0-20200714-SR,ClallamCoDCD,Nitrite,3.62,mg/l,Final,Actual,1
Cas 0.0-20200714-SR,ClallamCoDCD,Ammonia-nitrogen,11.1,mg/l,Final,Actual,1
Cas 0.0-20200714-SR,ClallamCoDCD,Nitrogen,1255.69,mg/l,Final,Actual,1
Cas 0.0-20200714-SR,ClallamCoDCD,Phosphorus,30.66,mg/l,Final,Actual,1
Cas 0.0-20200714-SR,ClallamCoDCD,Silicate,6387.58,mg/l,Final,Actual,1
Cas 0.0-20200714-SR,ClallamCoDCD,Gage height,-2.6,ft,Final,Actual,1
Cas 0.0-20200812-SR,ClallamCoDCD,"Temperature, water",13.4,deg C,Final,Actual,1
Cas 0.0-20200812-SR,ClallamCoDCD,Dissolved oxygen (DO),9.7,mg/l,Final,Actual,1
Cas 0.0-20200812-SR,ClallamCoDCD,Specific conductance,303,mS/cm,Final,Actual,1
Cas 0.0-20200812-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Cas 0.0-20200812-SR,ClallamCoDCD,Turbidity,3,FNU,Final,Actual,1
Cas 0.0-20200812-SR,ClallamCoDCD,Fecal Coliform,256,cfu/100ml,Final,Actual,1
Cas 0.0-20200812-SR,ClallamCoDCD,Gage height,0.5,ft,Final,Actual,1
Cas 0.0-20200928-SR,ClallamCoDCD,"Temperature, water",12.2,deg C,Final,Actual,1
Cas 0.0-20200928-SR,ClallamCoDCD,pH,7.9,None,Final,Actual,1
Cas 0.0-20200928-SR,ClallamCoDCD,Dissolved oxygen (DO),10,mg/l,Final,Actual,1
Cas 0.0-20200928-SR,ClallamCoDCD,Specific conductance,462,mS/cm,Final,Actual,1
Cas 0.0-20200928-SR,ClallamCoDCD,Salinity,0.2,ppt,Final,Actual,1
Cas 0.0-20200928-SR,ClallamCoDCD,Turbidity,3,FNU,Final,Actual,1
Cas 0.0-20200928-SR,ClallamCoDCD,Fecal Coliform,38,cfu/100ml,Final,Actual,1
Cas 0.0-20200928-SR,ClallamCoDCD,Flow,5.2,cfs,Final,Actual,1
Cas 0.0-20210419-SR,ClallamCoDCD,"Temperature, water",12.2,deg C,Final,Actual,1
Cas 0.0-20210419-SR,ClallamCoDCD,pH,8,None,Final,Actual,1
Cas 0.0-20210419-SR,ClallamCoDCD,Dissolved oxygen (DO),10.9,mg/l,Final,Actual,1
Cas 0.0-20210419-SR,ClallamCoDCD,Specific conductance,346,mS/cm,Final,Actual,1
Cas 0.0-20210419-SR,ClallamCoDCD,Salinity,0.2,ppt,Final,Actual,1
Cas 0.0-20210419-SR,ClallamCoDCD,Turbidity,6,FNU,Final,Actual,1
Cas 0.0-20210419-SR,ClallamCoDCD,Fecal Coliform,2,cfu/100ml,Final,Actual,1
Cas 0.0-20210510-SR,ClallamCoDCD,"Temperature, water",12.5,deg C,Final,Actual,1
Cas 0.0-20210510-SR,ClallamCoDCD,pH,8,None,Final,Actual,1
Cas 0.0-20210510-SR,ClallamCoDCD,Dissolved oxygen (DO),10.6,mg/l,Final,Actual,1
Cas 0.0-20210510-SR,ClallamCoDCD,Specific conductance,307,mS/cm,Final,Actual,1
Cas 0.0-20210510-SR,ClallamCoDCD,Salinity,0.2,ppt,Final,Actual,1
Cas 0.0-20210510-SR,ClallamCoDCD,Turbidity,5,FNU,Final,Actual,1
Cas 0.0-20210510-SR,ClallamCoDCD,Fecal Coliform,38,cfu/100ml,Final,Actual,1
Cas 0.0-20210510-SR,ClallamCoDCD,Nitrate,939.62,mg/l,Final,Actual,1
Cas 0.0-20210510-SR,ClallamCoDCD,Nitrite,3.61,mg/l,Final,Actual,1
Cas 0.0-20210510-SR,ClallamCoDCD,Ammonia-nitrogen,12.9,mg/l,Final,Actual,1
Cas 0.0-20210510-SR,ClallamCoDCD,Nitrogen,1115.9,mg/l,Final,Actual,1
Cas 0.0-20210510-SR,ClallamCoDCD,Phosphorus,30.95,mg/l,Final,Actual,1
Cas 0.0-20210510-SR,ClallamCoDCD,Silicate,5156.51,mg/l,Final,Actual,1
Cas 0.0-20210510-SR,ClallamCoDCD,Flow,3.1,cfs,Final,Actual,1
Cas 0.0-20210614-SR,ClallamCoDCD,pH,7.7,None,Final,Actual,1
Cas 0.0-20210614-SR,ClallamCoDCD,Dissolved oxygen (DO),9.9,mg/l,Final,Actual,1
Cas 0.0-20210614-SR,ClallamCoDCD,Specific conductance,802,mS/cm,Final,Actual,1
Cas 0.0-20210614-SR,ClallamCoDCD,Salinity,0.8,ppt,Final,Actual,1
Cas 0.0-20210614-SR,ClallamCoDCD,Turbidity,5,FNU,Final,Actual,1
Cas 0.0-20210614-SR,ClallamCoDCD,Fecal Coliform,50,cfu/100ml,Final,Actual,1
Cas 0.0-20210712-SR,ClallamCoDCD,pH,7.7,None,Final,Actual,1
Cas 0.0-20210712-SR,ClallamCoDCD,Dissolved oxygen (DO),9.3,mg/l,Final,Actual,1
Cas 0.0-20210712-SR,ClallamCoDCD,Specific conductance,503,mS/cm,Final,Actual,1
Cas 0.0-20210712-SR,ClallamCoDCD,Salinity,0.5,ppt,Final,Actual,1
Cas 0.0-20210712-SR,ClallamCoDCD,Turbidity,6,FNU,Final,Actual,1
Cas 0.0-20210712-SR,ClallamCoDCD,Fecal Coliform,108,cfu/100ml,Final,Actual,1
Cas 0.0-20210712-SR,ClallamCoDCD,Nitrate,794.57,mg/l,Final,Actual,1
Cas 0.0-20210712-SR,ClallamCoDCD,Nitrite,4.5,mg/l,Final,Actual,1
Cas 0.0-20210712-SR,ClallamCoDCD,Ammonia-nitrogen,26.2,mg/l,Final,Actual,1
Cas 0.0-20210712-SR,ClallamCoDCD,Nitrogen,959.63,mg/l,Final,Actual,1
Cas 0.0-20210712-SR,ClallamCoDCD,Phosphorus,37.93,mg/l,Final,Actual,1
Cas 0.0-20210712-SR,ClallamCoDCD,Silicate,5069.66,mg/l,Final,Actual,1
Cas 0.0-20210712-SR,ClallamCoDCD,Gage height,3.2,ft,Final,Actual,1
Cas 0.0-20210809-SR,ClallamCoDCD,"Temperature, water",15.6,deg C,Final,Actual,1
Cas 0.0-20210809-SR,ClallamCoDCD,pH,7.6,None,Final,Actual,1
Cas 0.0-20210809-SR,ClallamCoDCD,Dissolved oxygen (DO),8.9,mg/l,Final,Actual,1
Cas 0.0-20210809-SR,ClallamCoDCD,Specific conductance,722,mS/cm,Final,Actual,1
Cas 0.0-20210809-SR,ClallamCoDCD,Salinity,0.4,ppt,Final,Actual,1
Cas 0.0-20210809-SR,ClallamCoDCD,Turbidity,3,FNU,Final,Actual,1
Cas 0.0-20210809-SR,ClallamCoDCD,Fecal Coliform,86,cfu/100ml,Final,Actual,1
Cas 0.0-20220613-SR,ClallamCoDCD,"Temperature, water",12.6,deg C,Final,Actual,1
Cas 0.0-20220613-SR,ClallamCoDCD,pH,7.8,None,Final,Actual,1
Cas 0.0-20220613-SR,ClallamCoDCD,Dissolved oxygen (DO),9.7,mg/l,Final,Actual,1
Cas 0.0-20220613-SR,ClallamCoDCD,Specific conductance,1750,mS/cm,Final,Actual,1
Cas 0.0-20220613-SR,ClallamCoDCD,Salinity,0.9,ppt,Final,Actual,1
Cas 0.0-20220613-SR,ClallamCoDCD,Turbidity,8,FNU,Final,Actual,1
Cas 0.0-20220613-SR,ClallamCoDCD,Fecal Coliform,332,cfu/100ml,Final,Actual,1
Cas 0.0-20220712-SR,ClallamCoDCD,"Temperature, water",15.2,deg C,Final,Actual,1
Cas 0.0-20220712-SR,ClallamCoDCD,pH,7.7,None,Final,Actual,1
Cas 0.0-20220712-SR,ClallamCoDCD,Dissolved oxygen (DO),8.7,mg/l,Final,Actual,1
Cas 0.0-20220712-SR,ClallamCoDCD,Specific conductance,4088,mS/cm,Final,Actual,1
Cas 0.0-20220712-SR,ClallamCoDCD,Salinity,2.2,ppt,Final,Actual,1
Cas 0.0-20220712-SR,ClallamCoDCD,Turbidity,10,FNU,Final,Actual,1
Cas 0.0-20220712-SR,ClallamCoDCD,Fecal Coliform,298,cfu/100ml,Final,Actual,1
Cas 0.0-20220712-SR,ClallamCoDCD,Nitrate,900.28,mg/l,Final,Actual,1
Cas 0.0-20220712-SR,ClallamCoDCD,Nitrite,5.97,mg/l,Final,Actual,1
Cas 0.0-20220712-SR,ClallamCoDCD,Ammonia-nitrogen,33.2,mg/l,Final,Actual,1
Cas 0.0-20220712-SR,ClallamCoDCD,Nitrogen,1007.69,mg/l,Final,Actual,1
Cas 0.0-20220712-SR,ClallamCoDCD,Phosphorus,55.63,mg/l,Final,Actual,1
Cas 0.0-20220712-SR,ClallamCoDCD,Silicate,5100.62,mg/l,Final,Actual,1
Cas 0.0-20220808-SR,ClallamCoDCD,"Temperature, water",15.7,deg C,Final,Actual,1
Cas 0.0-20220808-SR,ClallamCoDCD,pH,7.8,None,Final,Actual,1
Cas 0.0-20220808-SR,ClallamCoDCD,Dissolved oxygen (DO),8.7,mg/l,Final,Actual,1
Cas 0.0-20220808-SR,ClallamCoDCD,Specific conductance,1536,mS/cm,Final,Actual,1
Cas 0.0-20220808-SR,ClallamCoDCD,Salinity,0.8,ppt,Final,Actual,1
Cas 0.0-20220808-SR,ClallamCoDCD,Turbidity,6,FNU,Final,Actual,1
Cas 0.0-20220808-SR,ClallamCoDCD,Fecal Coliform,840,cfu/100ml,Final,Actual,1
Cas 0.0-20220808-SR,ClallamCoDCD,Gage height,2.9,ft,Final,Actual,1
Cas 0.0-20220912-SR,ClallamCoDCD,"Temperature, water",14.5,deg C,Final,Actual,1
Cas 0.0-20220912-SR,ClallamCoDCD,pH,8,None,Final,Actual,1
Cas 0.0-20220912-SR,ClallamCoDCD,Dissolved oxygen (DO),9.2,mg/l,Final,Actual,1
Cas 0.0-20220912-SR,ClallamCoDCD,Specific conductance,344,mS/cm,Final,Actual,1
Cas 0.0-20220912-SR,ClallamCoDCD,Salinity,0.2,ppt,Final,Actual,1
Cas 0.0-20220912-SR,ClallamCoDCD,Turbidity,5,FNU,Final,Actual,1
Cas 0.0-20220912-SR,ClallamCoDCD,Fecal Coliform,410,cfu/100ml,Final,Actual,1
Cas 0.0-20220912-SR,ClallamCoDCD,Nitrate,925.41,mg/l,Final,Actual,1
Cas 0.0-20220912-SR,ClallamCoDCD,Nitrite,3.43,mg/l,Final,Actual,1
Cas 0.0-20220912-SR,ClallamCoDCD,Ammonia-nitrogen,23.8,mg/l,Final,Actual,1
Cas 0.0-20220912-SR,ClallamCoDCD,Nitrogen,1121.87,mg/l,Final,Actual,1
Cas 0.0-20220912-SR,ClallamCoDCD,Phosphorus,36.69,mg/l,Final,Actual,1
Cas 0.0-20220912-SR,ClallamCoDCD,Silicate,4835.52,mg/l,Final,Actual,1
Cas 0.0-20221010-SR,ClallamCoDCD,"Temperature, water",11.4,deg C,Final,Actual,1
Cas 0.0-20221010-SR,ClallamCoDCD,pH,8,None,Final,Actual,1
Cas 0.0-20221010-SR,ClallamCoDCD,Dissolved oxygen (DO),10.2,mg/l,Final,Actual,1
Cas 0.0-20221010-SR,ClallamCoDCD,Specific conductance,302,mS/cm,Final,Actual,1
Cas 0.0-20221010-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Cas 0.0-20221010-SR,ClallamCoDCD,Turbidity,5,FNU,Final,Actual,1
Cas 0.0-20221010-SR,ClallamCoDCD,Fecal Coliform,280,cfu/100ml,Final,Actual,1
Cas 0.0-20230313-SR,ClallamCoDCD,"Temperature, water",7.5,deg C,Final,Actual,1
Cas 0.0-20230313-SR,ClallamCoDCD,pH,7.6,None,Final,Actual,1
Cas 0.0-20230313-SR,ClallamCoDCD,Dissolved oxygen (DO),10.5,mg/l,Final,Actual,1
Cas 0.0-20230313-SR,ClallamCoDCD,Specific conductance,7808,mS/cm,Final,Actual,1
Cas 0.0-20230313-SR,ClallamCoDCD,Salinity,4.3,ppt,Final,Actual,1
Cas 0.0-20230313-SR,ClallamCoDCD,Turbidity,23,FNU,Final,Actual,1
Cas 0.0-20230313-SR,ClallamCoDCD,Fecal Coliform,62,cfu/100ml,Final,Actual,1
Cas 0.0-20230313-SR,ClallamCoDCD,Nitrate,772.78,mg/l,Final,Actual,1
Cas 0.0-20230313-SR,ClallamCoDCD,Nitrite,5.59,mg/l,Final,Actual,1
Cas 0.0-20230313-SR,ClallamCoDCD,Ammonia-nitrogen,138.1,mg/l,Final,Actual,1
Cas 0.0-20230313-SR,ClallamCoDCD,Nitrogen,1374.14,mg/l,Final,Actual,1
Cas 0.0-20230313-SR,ClallamCoDCD,Phosphorus,75.67,mg/l,Final,Actual,1
Cas 0.0-20230313-SR,ClallamCoDCD,Silicate,4102.81,mg/l,Final,Actual,1
Cas 0.0-20230410-SR,ClallamCoDCD,"Temperature, water",9.5,deg C,Final,Actual,1
Cas 0.0-20230410-SR,ClallamCoDCD,pH,7.6,None,Final,Actual,1
Cas 0.0-20230410-SR,ClallamCoDCD,Dissolved oxygen (DO),9.7,mg/l,Final,Actual,1
Cas 0.0-20230410-SR,ClallamCoDCD,Specific conductance,1458,mS/cm,Final,Actual,1
Cas 0.0-20230410-SR,ClallamCoDCD,Salinity,0.7,ppt,Final,Actual,1
Cas 0.0-20230410-SR,ClallamCoDCD,Turbidity,5,FNU,Final,Actual,1
Cas 0.0-20230410-SR,ClallamCoDCD,Fecal Coliform,24,cfu/100ml,Final,Actual,1
Cas 0.0-20230515-SR,ClallamCoDCD,"Temperature, water",17.4,deg C,Final,Actual,1
Cas 0.0-20230515-SR,ClallamCoDCD,pH,7.4,None,Final,Actual,1
Cas 0.0-20230515-SR,ClallamCoDCD,Dissolved oxygen (DO),6.9,mg/l,Final,Actual,1
Cas 0.0-20230515-SR,ClallamCoDCD,Specific conductance,13790,mS/cm,Final,Actual,1
Cas 0.0-20230515-SR,ClallamCoDCD,Salinity,8,ppt,Final,Actual,1
Cas 0.0-20230515-SR,ClallamCoDCD,Turbidity,6,FNU,Final,Actual,1
Cas 0.0-20230515-SR,ClallamCoDCD,Fecal Coliform,176,cfu/100ml,Final,Actual,1
Cas 0.0-20230515-SR,ClallamCoDCD,Nitrate,468.01,mg/l,Final,Actual,1
Cas 0.0-20230515-SR,ClallamCoDCD,Nitrite,26.16,mg/l,Final,Actual,1
Cas 0.0-20230515-SR,ClallamCoDCD,Ammonia-nitrogen,166,mg/l,Final,Actual,1
Cas 0.0-20230515-SR,ClallamCoDCD,Nitrogen,1203.52,mg/l,Final,Actual,1
Cas 0.0-20230515-SR,ClallamCoDCD,Phosphorus,101.72,mg/l,Final,Actual,1
Cas 0.0-20230515-SR,ClallamCoDCD,Silicate,3954.21,mg/l,Final,Actual,1
Cas 0.0-20230612-SR,ClallamCoDCD,"Temperature, water",14.2,deg C,Final,Actual,1
Cas 0.0-20230612-SR,ClallamCoDCD,pH,7.8,None,Final,Actual,1
Cas 0.0-20230612-SR,ClallamCoDCD,Dissolved oxygen (DO),9.5,mg/l,Final,Actual,1
Cas 0.0-20230612-SR,ClallamCoDCD,Specific conductance,3709,mS/cm,Final,Actual,1
Cas 0.0-20230612-SR,ClallamCoDCD,Salinity,1.4,ppt,Final,Actual,1
Cas 0.0-20230612-SR,ClallamCoDCD,Turbidity,6,FNU,Final,Actual,1
Cas 0.0-20230612-SR,ClallamCoDCD,Fecal Coliform,556,cfu/100ml,Final,Actual,1
Cas 0.0-20230814-SR,ClallamCoDCD,"Temperature, water",15.9,deg C,Final,Actual,1
Cas 0.0-20230814-SR,ClallamCoDCD,pH,7.7,None,Final,Actual,1
Cas 0.0-20230814-SR,ClallamCoDCD,Dissolved oxygen (DO),8.8,mg/l,Final,Actual,1
Cas 0.0-20230814-SR,ClallamCoDCD,Specific conductance,1369,mS/cm,Final,Actual,1
Cas 0.0-20230814-SR,ClallamCoDCD,Salinity,0.7,ppt,Final,Actual,1
Cas 0.0-20230814-SR,ClallamCoDCD,Turbidity,6,FNU,Final,Actual,1
Cas 0.0-20230814-SR,ClallamCoDCD,Fecal Coliform,1000,cfu/100ml,Final,Actual,1
Cas 0.0-20230911-SR,ClallamCoDCD,"Temperature, water",14.1,deg C,Final,Actual,1
Cas 0.0-20230911-SR,ClallamCoDCD,pH,7.6,None,Final,Actual,1
Cas 0.0-20230911-SR,ClallamCoDCD,Dissolved oxygen (DO),8.6,mg/l,Final,Actual,1
Cas 0.0-20230911-SR,ClallamCoDCD,Specific conductance,447,mS/cm,Final,Actual,1
Cas 0.0-20230911-SR,ClallamCoDCD,Salinity,0.2,ppt,Final,Actual,1
Cas 0.0-20230911-SR,ClallamCoDCD,Turbidity,110,FNU,Final,Actual,1
Cas 0.0-20230911-SR,ClallamCoDCD,Fecal Coliform,520,cfu/100ml,Final,Actual,1
Cas 0.0-20240514-SR,ClallamCoDCD,"Temperature, water",12.1,deg C,Final,Actual,1
